Airport name,Province,,,,
Calgary International Airport,Alberta,,,,
Edmonton International Airport,Alberta,,,,
Gander International Airport,Newfoundland and Labrador,,,,
Greater Moncton Roméo LeBlanc International Airport,New Brunswick,,,,
Halifax Stanfield International Airport,Nova Scotia,,,,
Hamilton/John C. Munro International Airport,Ontario,,,,
London International Airport,Ontario,,,,
Montréal–Pierre Elliott Trudeau International Airport,Quebec,,,,
Ottawa Macdonald–Cartier International Airport,Ontario,,,,
Québec/Jean Lesage International Airport,Quebec,,,,
Regina International Airport,Saskatchewan,,,,
Saskatoon John G. Diefenbaker International Airport,Saskatchewan,,,,
St. John's International Airport,Newfoundland and Labrador,,,,
Toronto Pearson International Airport,Ontario,,,,
Vancouver International Airport,British Columbia,,,,
Victoria International Airport,British Columbia,,,,
Winnipeg International Airport,Manitoba,,,,
